company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
ALAFFIA,"Everyday Shea Dry Finish Deodorant, 3 oz",6.99,5.99,5.39,body_care,0.143,0.229,0.086,20% to 30%,Deodorant
Jason Natural Products,"Men's Forest Fresh Stick Deodorant, 2.5 oz",5.99,5.09,4.58,body_care,0.15,0.235,0.085,20% to 30%,Deodorant
Tom's of Maine,"Refreshing Lemongrass Deodorant, 2.25 oz",5.49,4.69,4.22,body_care,0.146,0.231,0.085,20% to 30%,Deodorant
NUBIAN HERITAGE,"Goat's Milk & Chai Body Lotion, 13 fl oz",13.49,9.99,8.99,body_care,0.259,0.334,0.075,30% to 40%,Lotion
NUBIAN HERITAGE,"Coconut Papaya Body Lotion, 13 fl oz",13.49,9.99,8.99,body_care,0.259,0.334,0.075,30% to 40%,Lotion
NUBIAN HERITAGE,"Raw Shea Butter Body Lotion, 13 fl oz",13.49,9.99,8.99,body_care,0.259,0.334,0.075,30% to 40%,Lotion
SHIKAI,"CBD+ Body Lotion, 0.8 fl oz",10.49,7.79,7.01,body_care,0.257,0.332,0.075,30% to 40%,Lotion
SHIKAI,"Borage Advanced Therapy Lotion, 16 fl oz",21.99,16.49,14.84,body_care,0.25,0.325,0.075,30% to 40%,Lotion
SHIKAI,"Original Unscented Borage Therapy Dry Skin Lotion, 16 fl oz",21.99,16.49,14.84,body_care,0.25,0.325,0.075,30% to 40%,Lotion
SHIKAI,"CBD+ Body Lotion, 6 oz",41.99,33.49,30.14,body_care,0.202,0.282,0.08,20% to 30%,Lotion
ALBA BOTANICA,"Very Emollient Scented Lotion, 32 oz",13.99,11.29,10.16,body_care,0.193,0.274,0.081,20% to 30%,Lotion
ALBA BOTANICA,"Very Emollient Body Lotion, 32 oz",13.99,11.29,10.16,body_care,0.193,0.274,0.081,20% to 30%,Lotion
ALBA BOTANICA,"Very Emollient Unscented Lotion, 32 oz",13.99,11.29,10.16,body_care,0.193,0.274,0.081,20% to 30%,Lotion
A LA MAISON,"Honeysuckle Hand & Body Lotion, 5 fl oz",8.99,7.29,6.56,body_care,0.189,0.27,0.081,20% to 30%,Lotion
Burt's Bees,"Baby Bee Nourishing Lotion, 6 oz",7.79,6.39,5.75,body_care,0.18,0.262,0.082,20% to 30%,Lotion
ALAFFIA,"Lavender Body Lotion, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Lotion
ALAFFIA,"Unscented Body Lotion, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Lotion
ALAFFIA,"Coconut Body Lotion, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Lotion
ALAFFIA,"Coconut Lime Body Lotion, 32 fl oz",11.99,10.29,9.26,body_care,0.142,0.228,0.086,20% to 30%,Lotion
Burt's Bees,"Baby Bee Shampoo And Wash, 21 fl oz",15.99,12.39,11.15,body_care,0.225,0.303,0.078,30% to 40%,Shampoo
ALAFFIA,"Lemon Lavender Shampoo & Body Wash, 16 fl oz",10.49,9.39,8.45,body_care,0.105,0.194,0.089,10% to 20%,Shampoo
Burt's Bees,"Baby Bee Shampoo & Wash, 12 fl oz",9.49,7.39,6.65,body_care,0.221,0.299,0.078,20% to 30%,Shampoo
ALAFFIA,"Babies Coconut Shampoo, 16 fl oz",8.69,7.69,6.92,body_care,0.115,0.204,0.089,20% to 30%,Shampoo
ALAFFIA,"Coconut Strawberry Shampoo Body Wash, 16 fl oz",8.69,7.69,6.92,body_care,0.115,0.204,0.089,20% to 30%,Shampoo
Tom's of Maine,"Silly Strawberry Children's Anticavity Toothpaste, 5.1 oz",5.49,4.29,3.86,body_care,0.219,0.297,0.078,20% to 30%,Toothpaste
Hello,"Hemp Seed & Coconut Oil Fluoride Free Toothpaste, 4 oz",6.99,5.49,4.94,body_care,0.215,0.293,0.078,20% to 30%,Toothpaste
Tom's of Maine,"Fresh Mint Toothpaste With Floride, 3 oz",3.29,2.69,2.42,body_care,0.182,0.264,0.082,20% to 30%,Toothpaste
Tom's of Maine,"Floride Free Fresh Mint Toothpaste, 3 oz",3.29,2.69,2.42,body_care,0.182,0.264,0.082,20% to 30%,Toothpaste
Tom's of Maine,"Antiplaque Whitening Spearmint Toothpaste, 5.5 oz",5.39,4.59,4.13,body_care,0.148,0.234,0.086,20% to 30%,Toothpaste
Tom's of Maine,"Peppermint Tartar Control Whitening Toothpaste, 5.5 oz",5.39,4.59,4.13,body_care,0.148,0.234,0.086,20% to 30%,Toothpaste
Tom's of Maine,"Fennel Whitening Anti Plaque Toothpaste, 5.5 oz",5.39,4.59,4.13,body_care,0.148,0.234,0.086,20% to 30%,Toothpaste
