,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
555,Brad's Plant Based,Brad's Original Crunchy Kale,4.99,3.0,2.7,0.3987975951903808,0.4589178356713427,0.06012024048096187,25% to 50%,Kale
574,Brad's Plant Based,Brad's Vampire Killer Crunchy Kale,4.99,3.0,2.7,0.3987975951903808,0.4589178356713427,0.06012024048096187,25% to 50%,Kale
890,Brad's Plant Based,Naked Raw Crunchy Kale,4.99,3.0,2.7,0.3987975951903808,0.4589178356713427,0.06012024048096187,25% to 50%,Kale
578,Brad's Plant Based,Brad's Cheeze It Up Crunchy Kale,4.99,3.0,2.7,0.3987975951903808,0.4589178356713427,0.06012024048096187,25% to 50%,Cheeze
522,Snack Mates by The New Primal,Snack Mates Free-Range Chicken & Maple Mini Meat Sticks,6.99,4.29,3.86,0.3862660944206009,0.44778254649499283,0.061516452074391936,25% to 50%,Chicken
610,Snack Mates by The New Primal,Snack Mates Free-Range Turkey Mini Meat Sticks,6.99,4.29,3.86,0.3862660944206009,0.44778254649499283,0.061516452074391936,25% to 50%,Sticks
1410,One Plant,Churro Protein Bar,2.69,1.6666666666666667,1.5,0.3804213135068153,0.4423791821561338,0.061957868649318515,25% to 50%,Bar
1359,One Plant,Chocolate Peanut Butter Protein Bar,2.69,1.6666666666666667,1.5,0.3804213135068153,0.4423791821561338,0.061957868649318515,25% to 50%,Bar
1555,One Plant,Banana Nut Bread Protein Bar,2.69,1.6666666666666667,1.5,0.3804213135068153,0.4423791821561338,0.061957868649318515,25% to 50%,Bar
1113,SEVENTH GENERATION,Paper Towels,3.19,1.99,1.79,0.37617554858934166,0.43887147335423193,0.06269592476489028,25% to 50%,Towels
759,MadeGood,Organic Chocolate Chip Granola Minis,3.99,2.49,2.24,0.37593984962406013,0.4385964912280702,0.06265664160401008,25% to 50%,Minis
796,MadeGood,Organic Strawberry Granola Minis,3.99,2.49,2.24,0.37593984962406013,0.4385964912280702,0.06265664160401008,25% to 50%,Minis
47,Wellshire Farms,Organic Sugar Free Turkey Bacon,7.99,4.99,4.49,0.3754693366708385,0.4380475594493116,0.06257822277847314,25% to 50%,Bacon
31,Wellshire Farms,Organic Uncured Turkey Bacon,7.99,4.99,4.49,0.3754693366708385,0.4380475594493116,0.06257822277847314,25% to 50%,Bacon
281,Barnana,Organic Pink Sea Salt Plantain Chips,4.79,3.0,2.7,0.3736951983298539,0.43632567849686843,0.06263048016701456,25% to 50%,Chips
888,Barnana,Organic Sea Salt Vinegar Plantain Chips,4.79,3.0,2.7,0.3736951983298539,0.43632567849686843,0.06263048016701456,25% to 50%,Chips
1658,GOOD CATCH,Fishless Tuna In Oil With Herbs,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Tuna
676,Simply 7 Snacks,Sea Salt Lentil Chips,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Chips
1838,Hen of the Woods,Kettle Chips A Touch Of Smoke,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Touch
1052,Ozery Bakery,Cranberry Orange Snacking Rounds,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Rounds
706,Ozery Bakery,Whole Wheat 100 Calorie One Bun,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Bun
1834,Hen of the Woods,Kettle Chips Sea Salted,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Salted
1291,Barnana,Lime & Sea Salt Plantain Tortilla Chips,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Chips
1786,GOOD CATCH,Mediterranean Fishless Tuna,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Tuna
1199,GOOD CATCH,Fishless Tuna In Water,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Tuna
1115,Barnana,Sea Salt Tortilla Chips,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Chips
1086,Ozery Bakery,Apple Cinnamon Snacking Rounds,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Cinnamon
1810,Hen of the Woods,Kettle Chips Buttermilk & Chive,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Buttermilk
1899,Hen of the Woods,Everything Kettle Chips,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Chips
1806,Hen of the Woods,Kettle Chips Red Wine Vinegar,3.99,2.5,2.25,0.3734335839598998,0.43609022556390975,0.06265664160400997,25% to 50%,Vinegar
1737,Uglies,Kettle Cooked Potato Chip Buffalo Ranch,3.19,2.0,1.8,0.3730407523510971,0.4357366771159874,0.06269592476489028,25% to 50%,Ranch
974,The New Primal,Lightly Peppered Meat Stick Free-Range Turkey,2.39,1.5,1.35,0.37238493723849375,0.4351464435146444,0.06276150627615062,25% to 50%,Turkey
1041,Frontera,Texas Original Taco Skillet Sauce (Mild),2.69,1.69,1.52,0.37174721189591076,0.43494423791821557,0.06319702602230481,25% to 50%,Mild
1189,Frontera,Green Chile Enchilada Sauce,2.69,1.69,1.52,0.37174721189591076,0.43494423791821557,0.06319702602230481,25% to 50%,Sauce
1244,Frontera,Red Chile Enchilada Sauce,2.69,1.69,1.52,0.37174721189591076,0.43494423791821557,0.06319702602230481,25% to 50%,Sauce
1370,Frontera,New Mexico Taco Skillet Sauce (Medium),2.69,1.69,1.52,0.37174721189591076,0.43494423791821557,0.06319702602230481,25% to 50%,Medium
1669,Fody™,SALAD DRESSING Caesar,6.29,3.99,3.59,0.3656597774244833,0.4292527821939587,0.06359300476947538,25% to 50%,Caesar
369,BEAR Snacks,BEAR Strawberry Fruit Rolls,5.49,3.49,3.14,0.3642987249544627,0.4280510018214936,0.06375227686703089,25% to 50%,Rolls
1021,BEAR Snacks,Strawberry Apple Sour Yoyos 5 Count,5.49,3.49,3.14,0.3642987249544627,0.4280510018214936,0.06375227686703089,25% to 50%,Yogurt
819,BEAR Snacks,BEAR Raspberry Fruit Rolls,5.49,3.49,3.14,0.3642987249544627,0.4280510018214936,0.06375227686703089,25% to 50%,Rolls
148,Kevin's Natural Foods,Roasted Garlic Chicken,10.99,6.99,6.29,0.36396724294813465,0.4276615104640582,0.06369426751592355,25% to 50%,Chicken
79,Kevin's Natural Foods,Thai Coconut Chicken,10.99,6.99,6.29,0.36396724294813465,0.4276615104640582,0.06369426751592355,25% to 50%,Chicken
89,Kevin's Natural Foods,Korean Bbq Chicken,10.99,6.99,6.29,0.36396724294813465,0.4276615104640582,0.06369426751592355,25% to 50%,Chicken
250,Kevin's Natural Foods,Tikka Masala Chicken,10.99,6.99,6.29,0.36396724294813465,0.4276615104640582,0.06369426751592355,25% to 50%,Chicken
481,Evolution Fresh,Cold Pressed Organic Carrot Citrus Radiance,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Radiance
224,Evolution Fresh,Cold Pressed Organic Vital Berry,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Berry
1004,Evolution Fresh,Organic Citrus Ginger Zest,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Zest
167,Evolution Fresh,Cold Pressed Mighty Watermelon,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Watermelon
171,Evolution Fresh,Cold Pressed Organic Essential Greens®,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,®
88,Evolution Fresh,Cold Pressed Organic Defense Up®,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Defense
1194,Evolution Fresh,Organic Raspberry Renewal,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Renewal
361,Evolution Fresh,Cold Pressed Organic Ruby Roots™,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Roots
192,Evolution Fresh,Cold Pressed Organic Greens & Ginger,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Greens
750,Evolution Fresh,Cold Pressed Organic Cucumber Glow,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Glow
866,Evolution Fresh,Organic Tropical Passion,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Passion
120,Evolution Fresh,Cold Pressed Organic Green Devotion,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Devotion
123,Evolution Fresh,Cold Pressed Organic Super Fruit Greens,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Greens
329,Evolution Fresh,Cold Pressed Organic Celery Glow™,5.49,3.5,3.15,0.36247723132969034,0.42622950819672134,0.063752276867031,25% to 50%,Glow
1529,Upton's Naturals,Italian Wedding Soup,4.69,3.0,2.7,0.3603411513859276,0.4243070362473348,0.0639658848614072,25% to 50%,Soup
1686,Upton's Naturals,Chick Tortilla Soup,4.69,3.0,2.7,0.3603411513859276,0.4243070362473348,0.0639658848614072,25% to 50%,Soup
1433,Upton's Naturals,Chick & Noodle Soup,4.69,3.0,2.7,0.3603411513859276,0.4243070362473348,0.0639658848614072,25% to 50%,Chick
1618,88 Acres,Dark Chocolate Brownie High Protein Bar,2.79,1.79,1.61,0.3584229390681003,0.4229390681003584,0.06451612903225812,25% to 50%,Bar
1360,88 Acres,Banana Bread High Protein Bar,2.79,1.79,1.61,0.3584229390681003,0.4229390681003584,0.06451612903225812,25% to 50%,Bar
726,Naked Truth,Chicken Breast Flame Grilled Chicken Breast Fillets,6.99,4.49,4.04,0.3576537911301859,0.4220314735336195,0.06437768240343356,25% to 50%,Fillets
144,Follow Your Heart,Parmesan - Shredded 4 oz,5.39,3.49,3.14,0.35250463821892386,0.4174397031539888,0.06493506493506496,25% to 50%,oz
625,Vermont Smoke & Cure,Uncured Pepperoni Turkey Meat Stick,1.99,1.29,1.16,0.3517587939698492,0.4170854271356784,0.0653266331658292,25% to 50%,Stick
858,Vermont Smoke & Cure,BBQ Beef Meat Stick,1.99,1.29,1.16,0.3517587939698492,0.4170854271356784,0.0653266331658292,25% to 50%,Stick
1982,Sonoma Creamery,Everything Cheddar Cheese Crisp Bar,1.99,1.29,1.16,0.3517587939698492,0.4170854271356784,0.0653266331658292,25% to 50%,Bar
638,Vermont Smoke & Cure,Cracked Pepper Beef & Pork Meat Stick,1.99,1.29,1.16,0.3517587939698492,0.4170854271356784,0.0653266331658292,25% to 50%,Stick
1952,CORE Foods,Ranch Core Crisps,4.99,3.29,2.96,0.3406813627254509,0.4068136272545091,0.06613226452905818,25% to 50%,Crisps
1916,CORE Foods,Peanut Butter Core Crisps,4.99,3.29,2.96,0.3406813627254509,0.4068136272545091,0.06613226452905818,25% to 50%,Crisps
24,Bell & Evans,Whole Chicken,2.99,1.99,1.79,0.33444816053511706,0.40133779264214053,0.06688963210702348,25% to 50%,Chicken
1437,Purely Elizabeth,Raspberry Pitaya Vibrant Oats,2.99,1.99,1.79,0.33444816053511706,0.40133779264214053,0.06688963210702348,25% to 50%,Oats
