,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins
75,Bob's Red Mill,Organic Old Fashioned Rolled Oats,6.69,4.99,4.49,0.254110613,0.328849028,0.074738416,25% to 50%
76,GT's Synergy Kombucha,Organic Guava Goddess 16oz,3.49,3,2.7,0.140401146,0.226361032,0.085959885,0% to 25%
77,Applegate,Organic Chicken Nuggets,8.99,7.99,7.19,0.111234705,0.200222469,0.088987764,0% to 25%
78,Wildwood,Organic High Protein Tofu,3.19,2.69,2.42,0.156739812,0.24137931,0.084639498,0% to 25%
79,Kevin's Natural Foods,Thai Coconut Chicken,10.99,6.99,6.29,0.363967243,0.42766151,0.063694268,25% to 50%
80,FAGE,Total 0% Plain Greek Yogurt,1.39,1.1,0.99,0.208633094,0.287769784,0.079136691,25% to 50%
81,Earth Balance,Organic Whipped Buttery Spread,6.39,5.49,4.94,0.14084507,0.226917058,0.086071987,0% to 25%
82,Purely Elizabeth,Original Ancient Grain Granola,6.79,4.99,4.49,0.265095729,0.338733432,0.073637703,25% to 50%
83,Changing Seas,Peppered Norwegian Roasted Salmon,7.99,6.99,6.29,0.125156446,0.212765957,0.087609512,0% to 25%
84,Sunripe Certified Brands,Organic Grape Tomatoes,3.99,3,2.7,0.248120301,0.323308271,0.07518797,25% to 50%
85,SEVENTH GENERATION,2ply Bath Tissue (300 Ct),8.99,8.49,7.64,0.055617353,0.150166852,0.094549499,0% to 25%
86,Boulder Canyon,Avocado Oil Sea Salt Potato Chips,2.99,2.5,2.25,0.163879599,0.247491639,0.08361204,0% to 25%
87,LaCroix Sparkling Water,Limoncello Sparkling Water,5.99,4.5,4.05,0.248747913,0.323873122,0.075125209,25% to 50%
88,Evolution Fresh,Cold Pressed Organic Defense Up®,5.49,3.5,3.15,0.362477231,0.426229508,0.063752277,25% to 50%
89,Kevin's Natural Foods,Korean Bbq Chicken,10.99,6.99,6.29,0.363967243,0.42766151,0.063694268,25% to 50%
90,Grillo's Pickles,Pickles,7.49,6.49,5.84,0.133511348,0.220293725,0.086782377,0% to 25%
91,Kite Hill,Artisan Almond Milk Ricotta,7.99,5.99,5.39,0.250312891,0.325406758,0.075093867,25% to 50%
92,Siete Family Foods,Burrito Tortilla Wrap,9.99,8.49,7.64,0.15015015,0.235235235,0.085085085,0% to 25%
93,Wellshire Farms,Virginia Baked Ham,9.99,8.49,7.64,0.15015015,0.235235235,0.085085085,0% to 25%
94,La Tortilla Factory,Organic Traditional Flour Tortillas (6 Pk),3.69,2.49,2.24,0.325203252,0.39295393,0.067750678,25% to 50%
95,Beyond Meat,Beyond Breakfast Sausage Spicy,4.99,3.99,3.59,0.200400802,0.280561122,0.080160321,25% to 50%
96,Catalina Crunch,Cinnamon Toast Cereal,9.29,6.99,6.29,0.247578041,0.322927879,0.075349839,25% to 50%
97,SEVENTH GENERATION,Free Clear Laundry Liquid,13.29,12.49,11.24,0.060195636,0.154251317,0.094055681,0% to 25%
98,GT's Cocoyo,Organic Pure 8oz,5.99,4.99,4.49,0.166944908,0.250417362,0.083472454,25% to 50%
99,Gardein,Seven Grain Crispy Tenders,4.79,4.49,4.04,0.06263048,0.1565762,0.09394572,0% to 25%
